问题,类别
三季度以来，公司股价已经创股灾以来新低，11月份美联储如果继续加息，公司股价大概率继续大幅度回调，考虑到国有企业回购决策流程长且繁琐。如果公司没有回购股票，维护市场信心，公司股价可能跌到历史最低？请问公司目前有准备回购前期工作吗？以应对美联储加息公司股价暴跌等不时之需？,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
首先.感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月20日贵公司的股东人数是多少？.,股东与股权变动
您好，请问，贵公司截止10月20日股东人数是多少？谢谢！,股东与股权变动
董秘好，请问贵司截止到10月20日收盘，股东总户数是多少？望回复，感谢！,股东与股权变动
尊敬的高管，能否劳驾您查查10月20日的股东数？麻烦您了！,股东与股权变动
您好，董秘，截止2022年9月29日，贵司股东数为多少？,股东与股权变动
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月10日贵公司的股东人数是多少？】,股东与股权变动
公司中报显示，去水卫矛醇已经上市销售。请问该药品的适应症是什么？销售情况怎么样？,生产经营情况
你好，公司是否考虑生产PGA？对于PGA的未来潜力如何看？,生产经营情况
董秘您好公司基本面好转了，公司也要加大在互联网媒体多宣传一下，不然酒香也怕巷子深啊，公司最近订单如何？,生产经营情况
公司是否还有可能完成今年股权激励计划？如果不能达成23，24年是否会调整股权激励解锁标准还是直接注销全部股权激励股份？谢谢！,生产经营情况
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
公司8月活动记录表表示电生理设备新增24台，累计入院 67台。而去年年报显示已经生产106台，销售98台，且披露已在200家医院完成手术600例左右。请问销售的设备不是全部入院？已完成的手术是包括自己的设备和其他厂商的设备搭配自己的耗材，是这么理解吗？,生产经营情况
今日股东人数多少？,股东与股权变动
公司有纺织品出口到欧洲，其中包含电加热的产品吗？比如电热毯,公司基本状况
您好！请问截止10月20日收盘公司股东人数是多少，谢谢！,股东与股权变动
公司新动保基地已经通过了GMP验收，请问目前哪条新生产线已经投入了生产？预计新生产线什么时间全部启用？,生产经营情况
董秘，你好！哈轴产品主要应用在国内哪些领域，请具体回复下。,公司基本状况
贵司2020年春季“菜篮子”农产品在“珠海免税MALL”平台上线，目前经营状况怎样？,公司基本状况
董秘您好！请问华域三电生产的汽车空调压缩机，其铝合金涡盘是铸造还是锻造工艺？相比铸造，锻造是否质量更优、更符合行业升级发展的趋势？当前锻造铝合金涡盘的供应商主要有哪几家？谢谢！,生产经营情况
公司新任总经理倪依东任广州白云山中一药业董事长后短短一两个月就让企业焕然一新脱胎换骨销售量屡创新高.为何就任公司总经理一个多月了一点改革创新带领公司发展的消息都没有？请问公司聘请倪依东总经理目标是什么？公司和控股股东是否给予倪依东总经理足够支持来实现他的才华带领公司发展？,生产经营情况
欧派回购十个亿都没有用，这个公司缺少了客户至上的经营理念，公司销售业务员上下同心，一致对外专坑客户，只考虑个人的利益，拼命伤害公司的声誉和口碑，整装、家居、门窗都是如此。没有公司，客户，个人三赢的经营模式，都不可以持续。请问投诉公司业务坑客户的电话是多少？有没有专门的部门负责？,生产经营情况
贵司作为珠海免税集团成员企业，自主研发“珠海免税MALL”“珠免国际”“高格健康”等在线平台，搭建了矩阵型的线上商城，目前这些平台的运营情况怎样？,生产经营情况
请问董秘，截止2022年10月20日，公司股东人数多少？,股东与股权变动
您好，请问公司有无制热设备出口国外？人民币贬值对公司利润有没有影响？,生产经营情况
尊敬的董秘您好！请问一下，你们这个三季度的业绩，是包含了这个补助款吗？还是纯在的业务来原收入？,公司基本状况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘你好，公司在主板上市5年左右，市值和股价和5年前没变化，是否是因为邻导班子能力问题才导致自身发展受到局限？建议借鉴同行业的重组收购优质资产或者变更经营项目，不要原地踏步,公司基本状况
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年8月10日贵公司的股东人数是多少？】1,股东与股权变动
董秘，您好！公司涉及软件开发、技术咨询服务、国际货物运输代理、酒店管理、住房租赁等各种业务，请问公司现在是采取何种方式签署各业务合同呢，有采取电子合同签署方式吗，比如契约锁电子合同？,生产经营情况
2022年中报中长期股权投资有21.2亿，对应中誉担保26.62%，显示6.30股份被冻结，是什么原因？,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
截至到2022年10月20日贵公司的股东人数是多少？..,股东与股权变动
请问贵公司之前关于降价的披露说不会影响利润，为何第三季度出现增收（增销量）利润大幅缩水的情况！请董密给予合理解释！这是不是可以说前面在欺骗投资者，大资金早就知晓内幕消息离场，导致近几个月比同行还大幅下跌。,生产经营情况
白总，董秘好！三季度报中原材料价格波动是导致收益大幅降低的重要原因之一，虽说偶然但后期不一定能百分百保证不会再出现同类事件。虽说公司是产业链中游巨头，但仍然要看上游脸色，说白了就是公司没矿。鉴于此，公司是否考虑向产业链上游进行投资布局，根本上解决供应链端的问题。,生产经营情况
董秘，贵司本次定增备选名单中有没有近期大量卖出贵司股票的机构或个人？从半年报中看出，公司十大股东中的某公募基金今年大量卖出贵司股票，故本人提议取消此基金参与的定增资格，请确认并回复是否可行,股东与股权变动
董秘，请问贵司三季度miniled出货量如何？按照贵司半年报的说明，三季度将大量出货；另外根据2021年年报，贵司根据订单计算的miniled的体量为每月2亿，请问22年截止到现在miniled有20个亿左右的销售额了吗？,生产经营情况
请贵司正面回答，办公在鸿锦大厦的起步新零售有限公司的直播业务开展的如何了,公司基本状况
上海要把无人驾驶推进一步。请问贵司在这方面有什么突出的产品或服务？,公司基本状况
按照众泰历次公告“公司因三个月内无法正常经营”而带帽，现在生产线已经维修完毕，也已利用原有零件和旧车拆卸进行了生产线的试运行，请问现在对于三个月内无法正常经营还有哪些阻碍？,生产经营情况
请问董秘，公司往年在氢能源技术上积累的优势是否还存在，后续公司在氢能源上有什么规划？,生产经营情况
贵公司在新能源专利技术方面有没有进展？是否自研、收购、或者获得其他公司在新能源专利方面帮扶？,生产经营情况
董秘，你说今年会有整车下线，为啥到现在还不见有销售新闻出来？官网也没更新？,生产经营情况
请问贵司或子公司有绿色建材相关业务吗？,公司基本状况
近期是否会举办投资机构交流会？目前资本市场非常关注公司新能源业务的进展，尤其是纳离子电池，是否有加强与投资者沟通与交流的重大举措？,公司基本状况
回复称复工复产按计划有序推进中，按这计划，新车几月份下线？,生产经营情况
璧山众泰汽车有限公司是不是已经复产复工了？,生产经营情况
董秘你好，请问公司现在的重心是复工复产还是定增？,生产经营情况
董秘你好，公司是否应该维护一下二级市场股东的利益，否则公司复产后的车二级市场股东又怎么会买单，水能载舟亦能覆舟，公司请重视,生产经营情况
U2是君趣研发的车型吗？壁山工厂生产U2，是否就是你说的壁工工厂给君趣代工？,生产经营情况
董秘你好，重整完成已9个月了，关于重整后的本年度计划进展二级市场一概不知，公司除了强制性披露的公告以外，是否考虑下自愿性披露一些进展公告，如复产进度，网约车布局，汽车下等。谢谢,生产经营情况
从贵公司申报的车型来看，今年除去国庆假期还剩二个多月，请问贵公司拿这样的车型怎样去抢占新能源汽车的份额，现复工复产又遥遥无期，请问在这两个多月内贵公司以什么样的对策来应对避免因2022年报负利润而使贵公司再次退市的风险？？？,生产经营情况
请问众泰还生产汽车吗？重整成功将近一年了，造车没有任何动静？上月传闻众泰造车资质被取消，莫非是真的？,生产经营情况
以前签订的T300俄罗斯订单还算数吗，订单合同2022底是否还延续？,生产经营情况
董秘，你好，本股东想了解一下工人现在员工人数情况，麻烦你说一下。,股东与股权变动
董秘，车还造吗？有必要造吗？卖得出去吗？什么重整重组并行，什么全球遴选车型，什么高端技术团队，什么互联网头部企业，在哪里？请问这些在哪里？,生产经营情况
请问生产线改造好了没,生产经营情况
贵公司的营收受疫情影响大吗,生产经营情况
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
八百万像素的车载镜头出货情况如何？汽车产业链复工复产超预期，公司车载镜头目前出货情况如何？公司在VR和AR领域的镜头出货情况如何？公司和特斯拉是全球合作吗？目前公司的车载镜头在市场占有率如何，800万像素的镜头有放量吗？,生产经营情况
乳业现代化加速，伊利是如何带动乡村产业发展，提升农产品附加价值的？,公司基本状况
近年来伊利创新研发一直处于领先地位，今年获得了多少创新奖项？,生产经营情况
目前国资改革三周年，公司作为珠海国资控股公司，目前有什么改革的成绩，原先说的和珠海免税的资产重组计划还在进行吗,股东与股权变动
截止目前股东人数是多少？,股东与股权变动
股东人数多少？,股东与股权变动
董秘，请问一下为什么全网都找不到你所谓的销售新闻？,生产经营情况
请问公司在厂区试运行的整车是不是生产线下线的？,生产经营情况
现知贵公司有：T300、U2这两种车型，在这年内三个月内贵公司就以这两种低档过时的车型来抢占新能源汽车的份额？？现贵公司复工复产遥遥无期，就靠这两个车型来复工复产抢占新能源汽车市场？请问这就是贵公司重整后的格局？？？,生产经营情况
请问，经过查询，江苏深商控股集团有限公司地址变更为（长春汽车经济技术开发区东风大街4936号），开户银行为（交通银行股份有限公司长春一汽支行），为什么要变更，是不是一汽来控股了？这可是资料查询的，请别说谣言，谢谢,生产经营情况
请问目前迟迟不能复工复产的原因是什么？贵司还须具备那些条件才能复工复产？请一一说明！不要给投资者打马虎眼说感谢关注之类的话！,生产经营情况
董秘，请问你们开展的销售工作是怎样的，可以告知一下嘛？还有公司官网是打算放弃不更新了吗？,生产经营情况
董秘回复今年整车下线，公司已经满足脱帽条件为何迟迟不申请？一定要等定增完成才申请还是财投解禁申请？,股东与股权变动
董秘您好！江南U2什么时候量产？生产线是否改造完成？,生产经营情况
董秘您好！重庆和浙江基地生产线改造完成没有？,生产经营情况
重庆壁山汽车整车生产所需要的各种配件是否已经到位,生产经营情况
公司复工复产下线车辆计划主营市场重心放在国内还是国外？目前有无国际或国内销售框架协议？,生产经营情况
董秘，请问一下公司官网什么时候更新新车内容？请实事求是回答,公司基本状况
董秘，贵公司对未来生产销售宣传等一系列工作有一个明确的目标了吗？,生产经营情况
董秘，前期你回复有四张新能源牌照，现在只有两张了，是怎么个情况？,生产经营情况
董秘您好，现在流传众泰造车资质过期，是否属实？还有，造车资质到底是指什么？,生产经营情况
目前公司自有汽车生产基地有哪些？,生产经营情况
尊敬的董秘你好！今年我国政府对于教育事业十分重视，给予高校科学仪器和教育设备大规模贴息贷款，请问我公司的网络靶场等产品可否用于人才培养以及高校网络攻防学习环境的应用？为我国人才培养尽一份力！谢谢！,公司基本状况
董秘：您好！宁波北仑区爆发新冠疫情，请问对贵司的经营影响大不大？谢谢,生产经营情况
尊敬的董秘你好！请问我公司网络靶场等产品可否用于职业教育？谢谢！,公司基本状况
美国制裁中国的芯片行业，对公司的设计芯片所使用的摩托罗拉IBM授权取得指令集有何影响？一旦授权的取消，公司有自主知识产权指令集替代的设计吗？,生产经营情况
公司发展良好，就是二级市场表现不尽人意，又破发了！公司高管可以自发买入增持二级市场股票以提振股民信心！这符合证券法！公司高管们是不是有这方面的考虑？一月解禁股具体是多少股份？因为破发大股东的解禁都延迟半年，具体股数需要修正？,股东与股权变动
公司预计几年内能解决恒大暴雷带来的问题呢？作为第一大客户的恒大，公司能否能获得恒大汽车的部分股权作为赔偿呢？,生产经营情况
公司中药材种植面积发展到3万亩以上，最终打造形成10亿元规模的中药材产业群，中医药发展离不开中药种植产业的高速发展，公司常年扶贫和种植中药材在这方面有丰富经验，公司将中药种植作为公司三大板块之一，是否意味着公司中药种植已经非常成熟进入产能爬坡高速发展阶段？谢谢！,生产经营情况
请问董秘，公司官网长期未更新的原因是什么？哪位管理者负责这项工作？,公司基本状况
董秘您好，请问截止目前，股东人数是多少。,股东与股权变动
海马汽车要出台金九银十的销售政策吗，下半年的销量不足啊,生产经营情况
海南采取超常规的方式提增海南在后疫情的经济增长，请问海马采用什么方式避免今年亏损！,公司基本状况
敬的董秘，你好！请问截止至2020年6月10日公司股东人数总数是多少？谢谢,股东与股权变动
敬的董秘，你好！请问截止至2020年6月20日公司股东人数总数是多少？谢谢,股东与股权变动
您好，根据贵司的年报，公司的主营收入和利润主要来源于国华人寿的保险业务，证券名称天茂集团让投资者云里雾里，为了突出主业让投资者一目了然，建议更名为盼。,公司基本状况
子公司国华人寿投资账面价值十几亿阳光城债券，已经违约。请问公司目前有没有解决的方案？,公司基本状况
您好，请问截止2022年6月30日收盘，贵公司股东人数是多少？谢谢。,股东与股权变动
优秀的董秘，贵司海水淡化技术是否可用于钠离子电容中钠离子提取?氢能源应用项目开展是否顺利?,生产经营情况
公司是否有无人机或相关配套产品？谢谢。,公司基本状况
您好，董秘，请问公司现阶段为比亚迪等知名品牌汽车厂商提供什么产品？谢谢。,公司基本状况
您好，请问贵公司是否具备纳米银线柔性屏幕显示技术的储备或研发成果？未来公司在柔性屏，折叠屏这块业务领域有何发展规划？谢谢。,生产经营情况
国内下半年疫情反复，对于公司回款有没有重大影响？别到年底又大额计提坏账,生产经营情况
既然精装修这么有前途为何贵公司做了这么多年精装修订单量在次序下滑呢？,生产经营情况
请问公司懂事长，二个问题，1.制氢一体化和成氨项目，一直纸上谈兵？何时进设备，开始动工建设？2.海南公司海水制氢项目进展如何？设备安装进厂了吗？预计何时投产？,生产经营情况
截至到2022年8月31日贵公司的股东人数是多少？】，,股东与股权变动
请问董秘，7.8.9月份公司的订单有没有受到疫情影响？还是一切都是正常进出货，或者说有重大订单突破,生产经营情况
尊敬的董秘，您好!请问一下公司是否有研究治疗脱发用的软激光产品?谢谢!,公司基本状况
董秘，您好！公司今年在经营不好的时候还出资3.5亿元认购中创新航是出于什么目的？公司股价持续弱势为何不是回购自己的股份，是觉得公司股价没有低估？,股东与股权变动
碳酸锂价格叠创新高，请问公司三季度的经营状况是不是更好点。公司目前订单和产能如何？,生产经营情况
尊敬的董秘，您好！请问截止2022年9月20日，公司股东人数是多少？谢谢！,股东与股权变动
董秘好！请问贵公司截止到9月26日股东户数是多少？谢谢,股东与股权变动
您好，董秘，请问截止9月20日，公司股东人数和机构数分别多少，谢谢！,股东与股权变动
董秘，你好！贵公司有涉及环保的相关业务吗？,公司基本状况
贵公司的烧烤架产品，可以用于户外活动吗？,公司基本状况
董秘，你好！贵公司的家电品牌chant在天猫和京东都设有旗舰店，请问贵公司在两个平台的销量如何？,生产经营情况
公司在固废处理方面有何提高？有没有研发出提高利用率的技术储备？,生产经营情况
董秘，你好！贵公司的燃气具及配套产品的出货量如何？,公司基本状况
公司生产电热毯和取暖器吗？,生产经营情况
请问公司什么产品打破国外绝对垄断？,公司基本状况
董秘！您好！请问公司产品是否有，可用于风电，光伏发电储能领域吗？谢谢！,公司基本状况
公司产品有使用在热泵上吗,公司基本状况
尊敬的董秘您好，请问贵公司在光热发电储能方面有哪些产品？,公司基本状况
您好北溪天然气管道发生爆炸，导致燃气泄露。经了解贵公司在欧洲有很多供应的公司，其中公司也有天然气器存储管和液压天然气储存罐，公司近期是否收到订购订单。,生产经营情况
请问公司上海地区可以开技术咨询费发票吗？,生产经营情况
请问公司有没有取暖设备销售？,生产经营情况
请问截止目前，股东总户数是多少？,股东与股权变动
截至到2022年9月20日贵公司的股东人数是多少？】,股东与股权变动
您好！请问贵公司的钠电池材料预计何时量产？产能是如何规划的？,生产经营情况
董秘您好，想问下目前人民币贬值对贵公司年度利润影响程度如何，谢谢,生产经营情况
公司为什么没有使用磷酸铁锂电芯，三元电芯不是不安全？,公司基本状况
特斯拉，宝马是公司什么客户，公司销售什么给对方，公司有没有生产电芯,生产经营情况
公司的逆变器生产发展到那个阶段？有技术难度吗？明年可以自己研发完成，供自己使用吗？,生产经营情况
首截至到2022年8月31日贵公司的股东人数是多少？】.,股东与股权变动
截至到2022年9月20日贵公司的股东人数是多少？】.,股东与股权变动
公司目前有多少美元外汇存底？与国外客户的结算，是否都采取美元结算。,生产经营情况
公司在即时医疗领域，有哪些优势产品或者服务？未来会围绕哪些领域或者疾病做更大的贡献？,公司基本状况
公司在上海的研发中心，主要研发目标是什么？目前有哪些方向？,生产经营情况
公司与华为在哪些方面展开了合作？能否坡露进展，包括且不限于公司和子公司国星光电！,公司基本状况
除了传统的水泵，是否开发新的业绩增长点？环保板块持续亏损，是否考虑处置相关资产？,公司基本状况
公司屏蔽泵是否有订单?,生产经营情况
公司有无回购股份计划来稳定股价？,股东与股权变动
公司股价破发，股东有没有增持计划，,股东与股权变动
首先对贵公司回复态度的转变表示赞赏。请问贵公司帕罗韦德项目和协作裕昌的卡龙酸酐衍生物项目设备改造周期还需要多久完工？预计的投产时间大概是什么时候？,生产经营情况
公司9月19日股东人数多少？,股东与股权变动
请问截止到目前，十大流通股东的持股增减情况分别是多少？,股东与股权变动
张总好，据自媒体消息，贵司子公司湖南兆恒为航空工业自主研制的大型民用直升机AC313直升机（代号：吉祥鸟-313）提供配套PMI材料，请问是否属实，谢谢~~,公司基本状况
请问，贵公司以后的主营业务是什么?,公司基本状况
董秘您好!请问贵公司今后立马科技会注入智能科技方面的技术吗?谢谢!,生产经营情况
请问董秘公司最新一期股东人数和机构数是多少？谢谢,股东与股权变动
公司中期业绩披露:主营业务利润按地区国外占比77.26%；请问:公司的境外结算是欧币结算还是美元结算？下半年的人民币快速贬值，对公司业绩提升是否有明显提升？,公司基本状况
董秘您好！请问人民币贬值对贵公司的出口业务是否起到积极影响？,生产经营情况
请问近期大宗交易频繁，是否广微在减，股东变动情况需不需要公告？,股东与股权变动
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
贵公司在欧美市场有没有电热床垫销售？销售额如何？,生产经营情况
董秘您好，请问截止9月20日公司的股东人数是多少？谢谢！,股东与股权变动
华信行是干啥的，还持有多少股份，啥时候减持完成？,股东与股权变动
请问公司产品有用在锂电池上面吗？,公司基本状况
请问公司户外帐篷，冬季使用的有特别处理吗？如果有，今年的订单情况与去年相比，有什么变化？,生产经营情况
请问董秘，重组后公司主营业务是什么？重组后的标的利润是否会加在乐凯新材年报当中？谢谢,公司基本状况
请问，贵公司重组之后主业是做什么？是否有军工业务？谢谢！,公司基本状况
董秘您好，欧洲能源危机很多化工企业被迫停产，这种情况下对乐凯化学的业绩是否有拉动作用？,公司基本状况
请问董秘，公司实控人定增计划什么时间开始实施，由于二级市场价格下跌，公司是否会向下修正定增价格？或者取消原来方案，重新拟定更低更有利的价格予以实施？谢谢。,股东与股权变动
请问截止2022年9月10日，贵公司股东人数多少，谢谢,股东与股权变动
公司HJT发展陷入瓶颈原因何在？别人家的技术进步明显为何公司到现在HJT技术上一点消息都没有？,生产经营情况
董秘您好，公司是topcon设备龙头，未来在hjt上布局如何？公司是否有信心在hjt成本下降后取得更多的整线订单？谢谢,生产经营情况
董秘您好，未来hjt成本下降，公司是否具备整线设备生产的能力？谢谢,生产经营情况
公司大股东减持是通过哪种方式？如果是大宗交易或者集合竞价，怎么盘中会出现那么多卖单，而且是连续卖出。,股东与股权变动
请问贵公司有意参加第二届TOPCon电池技术发展与设备创新国际论坛吗？我查了一下资料第一届贵公司没有参加。,生产经营情况
目前公司topcon设备有哪些客户谢谢,生产经营情况
你好！最近公司股价大幅度下跌，基于目前状况公司有没有考虑回购股份稳定股价！谢谢！,股东与股权变动
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
董秘，你好，蜜雪冰城是公司的客户吗,生产经营情况
您好，请问公司是否为郑州蜜雪的供应商之一。,生产经营情况
减持到1%为什么不发公告，截止9-23请问股东人数是多少，减持是否符合要求,股东与股权变动
是否有逆变器研发/生产能力，只需要回答是/否,生产经营情况
请问公司主业务是建筑类评估，员工持工程注册类证书占比百分之少多少？人才储备是否充足,公司基本状况
请问公司新能源车订单占比多少？未来是否会进一步上升？募投项目何时能投产？,生产经营情况
您好，请问，贵公司截止9月20日股东人数是多少？谢谢！,股东与股权变动
公司领导您好！请问截止2022.08.31我们公司股东人数是多少？谢谢！,股东与股权变动
董㊙️你好，贵公司今明二年研发团队与研发费用会向“氢能源”方向倾斜吗？,生产经营情况
公司领导： 公司股价从29.74跌到今天的历史最低点10.58元！ 请问公司近期有没有回购公司股票的计划或市值管理方案！ 是否基本面有重大的变化！          谢谢！盼回复！,股东与股权变动
随着比亚迪，小鹏等电动汽车新势力的崛起，宝马，奥迪，大众等老牌汽车巨头电动化趋势越来越明显，请问：公司在电动汽车模具及塑料零部件的营收比重会否实现跳跃式增长？公司的新增产能能否满足未来庞大的市场需求？,生产经营情况
请问公司三季度火盆、气炉等公司主打产品，出口有没有出现好转,公司基本状况
公司的火盆、气炉等产品有没有出口到欧洲，欧洲能源危机下对公司有什么影响？,公司基本状况
请问董秘，创新才是企业发展的动力，雅艺科技在生产制造中如何体现出科技创新？公司是否有意拓展新的方向？,生产经营情况
你好，公司产品是否有应用于工业机器人领域？,公司基本状况
董秘你好，公司是否掌握数字孪生技术，在这方面有什么布局和规划？,生产经营情况
公司CAE这一块发展如何，可否详细介绍现状以及公司未来计划,公司基本状况
尊敬的董秘您好，请问贵公司的海外业务是以美元结算的吗？美元大幅升值，对贵公司海外业绩有一定程度提升,生产经营情况
尊敬的董秘您好，我看到贵公司近期频频中标大项目，贵公司的产能是否还能跟得上？贵公司是否有扩大产能的计划,生产经营情况
尊敬的董秘你好，请问公司现在的股东人数是多少。谢谢,股东与股权变动
秸秆制乳酸技术有没有进展？,生产经营情况
董秘你好。通过贵公司半年报的财务报表，发现公司受益于人民币贬值，第二季度汇兑收益有五千万人民币上下。第三，第四季度，作为传统的旺季，加之人民币现阶段继续贬值，汇兑收益全年是否可以预估至少有两个亿的收益？还有请问，人民币持续贬值，对贵公司的出口有多大的促进作用？,公司基本状况
请问贵司产品是否应用于华为5.5G业务？,公司基本状况
公司低价回购股份，然后在低价半送形式给高管做股权激励，这合适吗？拿所有股东的钱给高管做福利？如果是回购后注销，应该所有投资者都没意见，必境公司回购的钱，是属于所有股东的,股东与股权变动
公司有纳离子电池技术储备吗？纳离子电池是否比锂电池更有优势？现在多家上市公司都在介入纳离子电池研发，公司能否也入个先手，抢占先机？而不是像锂电池一样，都已经很成熟了，市场已经变成红海了，公司才开始介入这行业，到时分到手的会不会只剩残羹剩饭了？,生产经营情况
按照规定，不是应该要公布回购方案前一交易日，前10大股东的持股情况，为何公司没公布？,股东与股权变动
相关媒体报道贵公司今年8月7号重庆南川工厂投产，又一个大生产基地投产对公司产能有多大影响？,生产经营情况
董事长你好，贵公司今年有没有接到“氢能源”方面订单。,生产经营情况
你好，请问股东江苏毅达并购成长股权投资基金（有限合伙），以及江苏高投发展创业投资有限公司，从四月份公布减持股份，到现在，减持多少了,股东与股权变动
董㊙️你好，如果明年“氢能源”订单爆发性增长，公司的产能是否能跟上节奏。,生产经营情况
目前公司销往美国的产品有没有降低关税或退税补贴？,公司基本状况
请问董秘，目前欧洲取暖设备已经卖爆，公司考虑转型生产研发室内取暖设备?,生产经营情况
请问董秘，公司在vr，ar领域与那些客户有合作？,生产经营情况
请问董秘，公司vr，ar产品有应用于字节跳动的pico4么？,公司基本状况
截至到2022年9月20日贵公司的股东人数是多少？】.,股东与股权变动
请问，公司有没有计划自己研发生产PEEK？,生产经营情况
请问：公司募投项目还没有试产么？,生产经营情况
请问董秘公司最新一期股东人数和机构数是多少？谢谢,股东与股权变动
您好！请问截止9月20日收盘公司股东人数是多少，谢谢！,股东与股权变动
董秘，您好。请问贵公司西昌基地生产的钢坯、钢锭主要应用于哪些领域？会涉及到军工领域吗？,生产经营情况
