请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
请问公司产品是否可应用于机器人行业？谢谢！	该公司的产品可以用于机器人行业吗？谢谢。	1
公司产品市占率是多少	那家公司产品的市场占有率是多少？	1
董秘您好！公开信息显示首届全球数字贸易博览会是经党中央国务院批准的国家级、全球性、唯一以数字贸易为主题的专业性展会，是中国（浙江）自贸试验区扩区后国家赋予的重要战略平台。公司注册地址上海杭州，办公地址是上海，请问公司算是上海公司还是杭州的数字经济公司？	董秘你好。公开信息显示，首届世界数字贸易博览会是党中央、国务院批准的以数字贸易为主题的全国性、全球性、唯一的专业展会。中国(浙江)自由贸易试验区扩大后，是国家赋予的重要战略平台。公司注册地址为沪杭州，办公地址为上海。这家公司是上海公司吗？还是杭州的数字经济公司？	1
您好董秘，请问公司1月份新冠核酸检测盒、抗原检测、自测盒的产量各有多少？？	请问董秘，1月份新冠肺炎核酸检测试剂盒、抗原检测试剂盒和自测盒的产量是多少？	1
请问，截至十月 29日公司的股东总数是多少？谢谢	请问到10月29日，该公司股东总数是多少？谢谢你，谢谢	1
11月10号预解禁的原始股东增发股，增发价格是多少钱？	11月10日初步解禁的原股东增发股份价格是多少？	1
请问公司在一体化压铸有没有技术储备	公司在整个压铸上有技术储备吗？	1
公司有否考虑用衍生品公司生产世界杯类似的玩具？	该公司是否曾考虑过使用衍生品公司生产类似世界杯的玩具？	1
公司官网以及微信公众号 可否增加产品管线 临床试验信息等信息	公司官网和微信公众号是否可以添加产品流水线临床试验信息等信息？	1
请问董秘，中报中的非主营业务分析，有信用减值损失，高达1144万之多，请问委贷减值是哪部分贷款，如何造成的减值	请问董秘在对非主营业务的报告分析中，存在信用减值损失，达到1144万。请问贷款的哪一部分是手续费贷款的减值，减值是什么原因？	1
你好，有人说公司产能利用率不足百分之五十是否属实呢？	请问该公司的产能利用率真的在50%以下吗？	1
请董秘大大公布一下，截止到2022年1月20日的最新股东人数，谢谢！	请公布截至2022年1月20日的最新股东人数。谢谢。	1
公司产品对中药材行业科学健康发展有何意义？	该公司的产品对中医药行业的科学健康发展有何意义？	1
董秘您好，请问公司截止至30号的股东户数是多少？	董秘，您好，到30日，公司股东户数是多少？	1
远洋运输价格暴涨，公司鱼货是否通过自有冷藏运输船运输？远洋运输价格暴涨是否有提高了公司鱼货的竞争力？	海运价格飞涨，该公司的鱼商品是用自己的冷藏运输船运输的吗？海运价格的飙升提高了该公司水产品的竞争力吗？	1
董秘你好，请问贵公司的产品可以应用到智能穿戴，请问涉不涉及到元宇宙领域？贵公司业务有没有拓展元宇宙领域？	您好，董秘，您的产品可以应用于智能服装。它涉足了元巴斯领域吗？你的业务拓展了梅塔巴斯的领域吗？	1
公司的新冠唾液抗原已经获得欧盟ce认证 请问公司目前有收到唾液抗原订单么？	该公司新冠状唾液抗原已通过欧盟CE认证。该公司目前是否收到唾液抗原的订单？	1
董秘您好，请问截止12月20日收盘的股东人数，谢谢，祝一切顺利！	董秘你好。我想问一下12月20日收盘价的股东人数。谢谢。祝你一切顺利。	1
董秘您好。据您介绍公司目前与比亚迪等新能源汽车制造商的合作正有序进行，请问未来公司是他们的一级供应商还是二级供应商？此类业务的开展是否会对现有某些大客户的业务产生一定的影响？公司怎么评估这方面的风险与收益的？	董秘你好。据介绍，该公司与比亚迪等新能源汽车制造商的合作正在有序进行。未来的公司是他们的一级供应商，还是二级供应商？这类业务的发展是否会对一些现有大客户的业务产生一定的影响呢？该公司如何评估这一领域的危险和收益？	1
请问董秘，公司轨道钢材占比有多少？	告辞了。董秘，请问钢轨在公司的比例是多少？	1
董秘你好，公司是小米公司充电器主要供应商吗？	请问董秘，请问该公司是小米公司的主要充电器供应商吗？	1
请问截止11月30日公司股东人数一共多少户？谢谢！	截至11月30日，该公司股东总数是多少？谢谢。	1
请问贵公司有那些原料药适用新冠药物?目前有没有一亿元以上的大订单?	贵公司有哪些接口适合新冠肺炎？到目前为止有没有上亿元的大额订单？	1
董秘您好，恭喜贵企上市！请问公司的产品是否有用于新能源汽车、军工、光伏、航空航天领域？	董秘，您好，祝贺贵公司上市！该公司的产品是否用于新能源汽车、军工、太阳能发电、航空航天等领域？	1
董秘，您好，我想请问一下咱们公司的跨境电商业务在哪些电商平台上有？海外跨境电商业务占比多少？未来苹果不配充电线，公司是否为新品iPhone 13无线充电做好了准备？同时无线充电是否适配小米、华为等安卓手机。	董秘先生，请问我们公司有哪些电商平台有跨境电商业务？国外跨境电商占比是多少？苹果未来将不会部署充电码。苹果公司准备好为新款iPhone 13无线充电了吗？同时，无线充电是否适合小米、华为等安卓手机？	1
请问公司盐湖提锂矿项目有哪些产能！	请问该公司盐湖锂矿开采项目产能是多少？	1
董秘您好 请问公司前五大客户销售额占总销售额比例为多少？前五大客户都是哪些公司呢？谢谢	您好，董秘，前五名客户的销售额占总销售额的比例是多少？哪个公司是前五大客户？谢谢你，谢谢	1
公司在虚拟建造领域有什么样技术储备	该公司在虚拟建筑领域的技术储备有哪些？	1
你好，请问2021上半年订单状况如何，在手订单还有多少？谢谢回答。	您好，2021年上半年订单情况如何？你手头有多少订单？谢谢您的回信。	1
董秘您好，公司具有深厚的抗艾滋病原料药和中间体生产的技术储备，而利托那韦也是一款抗艾滋病药物，理论上讲，公司是否可以较易实现对利托那韦原料药或中间体的研发、生产？如是，公司是否考虑切入利托那韦生产线，以更好满足近期剧增的市场需求，从而为抗击新冠疫情做出更大贡献？	您好，董秘，公司在抗艾滋病原料和中间体的生产上有深厚的技术储备，而利托那韦也是一种抗艾滋病药物，理论上，公司能否简单实现利托那韦原料或中间体的研发和生产？若果真如此，该公司会否考虑切入利特纳维亚生产线，以更好地满足近期激增的市场需求，从而为打击新冠肺炎疫情做出更大贡献？	1
请问现时一套风电塔筒直接成本和费用各占销售额几成,一套完工时长多久,需要多少人员	目前，一套风电塔的直接成本和成本只占销售额的几个百分点，一套风电塔建成还需要多长时间？你需要多少人？	1
秘董你好！请问贵公司近段时间的生产订单如何？	你好，董秘方！最近的生产订单怎么样了？	1
董秘您好，下属四川新锂想公司的锂电池三元正极材料和前驱体是否已经投产了？能否介绍下产能规划或当前产能及客户情况？谢谢。	董秘，您好。四川新锂公司锂电池三元正极材料及前体生产了吗？能告诉我产能计划和现在的产能和客户吗？谢谢。	1
最近韩国腌制泡菜的成本大涨，请问公司的产品是否用于泡菜腌制？	最近韩国泡菜的价格高涨了。该公司的产品用来腌制吗？	1
请问贵公司和其它同行业的上市公司相比有什么优势和不足	与同一行业的其他上市公司相比，你的优势和劣势是什么？	1
您好，请问截止11月30日最新的股东人数是多少？望告知一下，谢谢！	您好，到11月30日，最新的股东人数是多少？请告诉我。谢谢。	1
请问截止到11月20日，公司股东人数是多少？谢谢！	截至11月20日，该公司的股东数量是多少？谢谢。	1
公司目前的产能与去年同期相比增长多少？利用率是多少？谢谢	与去年同期相比，该公司目前的产能增长了多少？使用率是多少？谢谢你，谢谢	1
请问一下公司现在的股东数,对比三季度的股东数量变化	你能告诉我公司目前的股东数量，并比较一下第三季度股东数量的变化吗？	1
东方电缆是公司的竞争对手吗？公司有无海工领域的业务？有的话主要涉及哪些海工业务？谢谢	东方电缆是该公司的竞争对手吗？这家公司在海洋工程领域有业务吗？如果是这样，主要涉及哪些海运业务？谢谢你，谢谢	1
董秘您好，请问贵公司订单如何？	董秘先生您好，您要点什么吗？	1
贵公司多年前一直是瓶片龙头，最近几年由于竞争对手不断扩大产能，餐食大部分市场份额。近期三期工程完工后，公司产能重回行业第一吗。	贵公司几年前就一直是塑料瓶薯片的领头羊，近年来，由于竞争对手不断扩大产能，贵公司在食品市场占有很大份额。三期工程近期竣工后，公司产能重回行业第一。	1
请问7.10公司股东户数？谢谢	请问7.10家公司的股东户数是多少？谢谢你，谢谢	1
基于现在的股价，请问公司是否有股份回购计划？	根据目前的股价，该公司是否有股票回购计划？	1
请问公司产品可以用在无人驾驶汽车上吗？	该公司的产品可以用于无人驾驶汽车吗？	1
尊敬的董秘您好： 请问截至11月30日的股东户数为多少？谢谢	尊敬的董秘您好：到11月30日为止，股东人数是多少？谢谢你，谢谢	1
您好，请问公司在可降解塑料领域的发展规划，公司已经或将取得哪些进展？谢谢！	您好，该公司在可生物降解塑料领域的发展计划将取得哪些进展？谢谢。	1
公司目前产能利用情况如何？？？有新闻报道，公司最近在厂人工将近万人，是否属实？？？请正面回答股东的问题！！！	该公司目前的产能利用率是多少？有报道称，该公司最近将在工厂雇佣近1万名员工。这是真的吗？请直接回答股东的问题！	1
您好，截止12/20，股东人数是多少？	请问到12月20日的股东人数是多少？	1
董秘你好,贵公司处于本行业产业链哪环。突出的“产品”有哪些和目前对手状况几何？主营占比几何。 谢谢	请问董秘，贵公司在这个行业产业链中是什么样的环？什么是优秀的“产品”？目前的竞争对手怎么样？主营业务比重。谢谢你，谢谢	1
贵公司产品有哪些优势！订单怎么样	你们的产品有什么好处？您要点什么吗？	1
请问贵司作为专精特新公司代表，后续如何做到汽车尾气处理方面的更加优秀公司？来逐步打破国外垄断地位，推广使用我们自主创新的产品？	请问贵公司作为新公司的代表，如何使公司在汽车尾气管理方面做得更好？逐步打破国外垄断地位，推广我国自主创新产品的使用？	1
董秘你好,公司有无军工订单业务?	请问董秘，公司有军事订购业务吗？	1
请问，根据贵司的招股书预告，十四五期间，公司根据目前的市场占有率测算2022年-2024年期间的营业额在33亿-50亿之间，但是贵司并未对目前市场上同类型产品的产品扩展情况机芯讨论分析，在产品未出现大的技术革新前提下，正常行业头部公司的市场占有率是逐步提升的,	对不起，根据你的招股书，14、5期间，根据目前的市场份额，公司预计2022年到2024年之间的销售额在33亿到50亿之间。但是，贵公司还没有对同类型产品在市场上的产品拓展进行讨论和分析。在产品没有重大技术创新的前提下，正常行业头部公司的市场份额逐步提升。	1
请问贵公司产品是否有应用于新能源汽车？	你的产品用于新能源汽车吗？	1
公司股价七年新低，董事长说低估了，为何不采取回购增持行动呢	该公司股价已创下七年来新低，董事长称其价值被低估，但为何不采取回购行动增持股份？	1
公司主要产品是螺纹钢吗	该公司的主要产品是螺纹钢吗？	1
你好，董秘充电桩用到本公司产品吗？	请问充电桩是用我们公司的产品吗？	1
请问募投项目进展如何？是否有投产项目或终止项目？	请问筹款工作是怎样的呢？有没有投产或终止的项目？	1
尊敬的高管好， 公司已投入在研的20G采样示波器项目对标国外同类高端产品，此示波器预计什么时候研发成功投向市场？填补国产替代空白！	尊敬的高管，公司已投资20G采样示波器项目，将国外同类高端产品标准化，预计示波器何时研发成功，可投放市场。填补国内替代空白！	1
董秘你好，公司特高压产品有无应用光伏，风能，储能方面？	请问董秘，请问公司特高压产品应用太阳能、风能、储能吗？	1
赶紧预告下业绩吧给投资者一点信心，股价跌狠了。特斯拉是公司客户吗？或者是新能源车有哪些客户，小鹏理想蔚来比亚迪？重庆工厂产能爬升到达几成了？明年能满产吗，是不是满产后再造一个华峰？	匆忙预测业绩，给投资者一点信心，股价大跌。特斯拉是公司的客户吗？或者，新能源汽车，小鹏理想比亚迪的客户是什么？重庆工厂的产能已经上升到多少？明年是满员，还是交割后再来一次华风？	1
公司属于精细化工行业，看公司有产品碳酸甲乙酯产品是可否用于锂电池电解液上？公司参股的圣持新材在锂电池电解液销量如何？	该公司属于精细化工行业，产品碳酸甲乙酯可以用于锂电池电解液吗？该公司新控股材料在锂电池电解液中的销售情况如何？	1
